"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,398567,"Hempstead","NY","New York-Newark-Jersey City","Nassau County",849,368700,0.00627729257641921,0.0235980011104942,0.118289353958144,0.0858002420314348,0.00843368460594163,"2007-08","2007-Q3",400600,-0.0796305541687469,"2006-02"
2019-02-28,52587,"Howell","MI","Detroit-Warren-Dearborn","Livingston County",850,255700,0.00471512770137525,0.0126732673267327,0.0566115702479339,0.0878969377919918,0.0569900357329438,"2019-02","2019-Q1",255700,0,"2019-02"
2019-02-28,53250,"Medford","MA","Boston-Cambridge-Newton","Middlesex County",851,600900,0.00401002506265664,0.0157200811359026,0.0551360842844601,0.0938608551320659,0.0602655464957922,"2019-02","2019-Q1",600900,0,"2019-02"
2019-02-28,31861,"Greensburg","PA","Pittsburgh","Westmoreland County",852,149800,0.00133689839572192,0.00807537012113055,0.0302613480055021,0.0214775908421676,0.0160897997228084,"2019-02","2019-Q1",149800,0,"2019-02"
2019-02-28,10264,"Bartlett","TN","Memphis","Shelby County",853,201600,0.00448430493273543,0.0171543895055499,0.0938686923494303,0.0574117617484471,0.0228064270754842,"2019-02","2019-Q1",201600,0,"2019-02"
2019-02-28,34819,"White Plains","NY","New York-Newark-Jersey City","Westchester County",854,642800,-0.00186335403726708,-0.0092478421701603,0.00989787902592302,0.0302546499290055,0.00843715549923552,"2006-01","2006-Q1",674300,-0.0467151119679668,"2005-06"
2019-02-28,27992,"Winter Haven","FL","Lakeland-Winter Haven","Polk County",855,166600,0.00301023479831427,0.0146163215590743,0.0811161583387411,0.111282040766387,0.0271894658159246,"2006-08","2006-Q3",177200,-0.0598194130925508,"2006-04"
2019-02-28,20883,"Union","NJ","New York-Newark-Jersey City","Union County",856,327000,0.00988264360716492,0.013953488372093,0.0565428109854604,0.0499287529201362,0.00532063907097169,"2006-08","2006-Q3",382600,-0.145321484579195,"2005-03"
2019-02-28,4948,"Grand Forks","ND","Grand Forks","Grand Forks County",857,205200,0.000975609756097561,0.00146412884333821,0.00538951494365507,0.0423084582063189,0.0359080539079453,"2018-06","2018-Q2",206300,-0.00533204071740184,"2018-03"
2019-02-28,21685,"Bayonne","NJ","New York-Newark-Jersey City","Hudson County",858,373700,0.000535475234270415,-0.00373233804318848,0.0441464096116234,0.0757481929407973,0.0141856428453597,"2006-10","2006-Q4",427800,-0.126460963066854,"2005-09"
2019-02-28,39996,"Newark","OH","Columbus","Licking County",859,131700,0.00842266462480858,0.0305164319248826,0.0866336633663366,-0.00300983640475605,0.0340784490716857,"2014-10","2014-Q4",170600,-0.228018757327081,"2014-02"
2019-02-28,38809,"Gretna","LA","New Orleans-Metairie","Jefferson Parish",860,153500,-0.00389357560025957,-0.0315457413249211,0.11151339608979,0.050649454440898,0.013830206496503,"2018-11","2018-Q4",158500,-0.0315457413249211,"2018-10"
2019-02-28,19410,"Mishawaka","IN","South Bend-Mishawaka","Saint Joseph County",861,117300,0.000853242320819113,0.0077319587628866,0.0962616822429907,0.0685557462800281,0.0135785582113914,"2019-02","2019-Q1",117300,0,"2019-02"
2019-02-28,48792,"Chillicothe","OH","Chillicothe","Ross County",862,127700,0.00235478806907378,0.0433006535947712,0.120175438596491,0.0668510407227274,0.0291591481378173,"2019-02","2019-Q1",127700,0,"2019-02"
2019-02-28,38742,"Goose Creek","SC","Charleston-North Charleston","Berkeley County",863,187000,0.00107066381156317,0.0108108108108108,0.0828025477707006,0.0617338783070867,0.0235961760981376,"2019-02","2019-Q1",187000,0,"2019-02"
2019-02-28,53304,"Middletown","OH","Cincinnati","Butler County",864,109100,0.0139405204460967,0.0602526724975705,0.136458333333333,0.0801502464387238,0.0173044024059705,"2019-02","2019-Q1",109100,0,"2019-02"
2019-02-28,30993,"Columbia","TN","Nashville-Davidson--Murfreesboro--Franklin","Maury County",865,188700,0.00801282051282051,0.0345394736842105,0.127913927077107,0.113571381441425,0.0469191542407581,"2019-02","2019-Q1",188700,0,"2019-02"
2019-02-28,398893,"Piscataway","NJ","New York-Newark-Jersey City","Middlesex County",866,339100,0.00563463819691578,0.0201564380264741,0.0583645443196005,0.038895659434365,0.00333368849540672,"2006-08","2006-Q3",371800,-0.0879505110274341,"2005-06"
2019-02-28,24420,"Downers Grove","IL","Chicago-Naperville-Elgin","DuPage County",867,337600,0.000889415950192707,0.000296296296296296,0.016255267910897,0.0258880174955194,0.0122496896574151,"2006-11","2006-Q4",353700,-0.0455188012439921,"2005-11"
2019-02-28,8384,"Fountain Valley","CA","Los Angeles-Long Beach-Anaheim","Orange County",868,810300,-0.00319842539057695,-0.00393362015980332,0.022331566994701,0.0453301230623087,0.0361852289289846,"2018-12","2018-Q4",814200,-0.00478997789240973,"2018-08"
2019-02-28,5710,"Loveland","OH","Cincinnati","Clermont County",869,256000,0.00470957613814757,0.0199203187250996,0.053931659118979,0.0538986539694148,0.0275388939710675,"2019-02","2019-Q1",256000,0,"2019-02"
2019-02-28,27272,"Stillwater","OK","Stillwater","Payne County",870,173000,0.000578368999421631,0.00464576074332172,0.0396634615384615,0.0329675676566528,0.0169740542728372,"2019-02","2019-Q1",173000,0,"2019-02"
2019-02-28,51659,"Davis","CA","Sacramento--Roseville--Arden-Arcade","Yolo County",871,682500,0,0.00485865724381625,0.0424621964258439,0.0539944361111271,0.0369096221866785,"2019-02","2019-Q1",682500,0,"2019-02"
2019-02-28,118225,"South Whittier","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",872,520900,-0.000191938579654511,0.00134563629373318,0.0239827010025555,0.0629917095631964,0.0407421544524387,"2019-01","2019-Q1",521000,-0.000191938579654511,"2019-01"
2019-02-28,6809,"Rocklin","CA","Sacramento--Roseville--Arden-Arcade","Placer County",873,498800,0.00120433560818948,0.0204582651391162,0.0628595780950352,0.0560252363798974,0.0432243875153309,"2019-02","2019-Q1",498800,0,"2019-02"
